class_name,function_name,offset_start,offset_end,line_start,line_end,match_type,matched_slice_count,matched_slice_ids,matched_slice_ranges
junit.textui.TestRunner,start,4280,4584,172,181,Inside One LLM Slice,1,4,170-181
junit.textui.ResultPrinter,print,715,1180,30,42,Covers Multiple,2,4;5,30-41;42-42
junit.swingui.TestRunner,testFailed,2103,2215,70,72,Inside One LLM Slice,1,3,67-73
junit.swingui.TestRunner,addToHistory,3342,3557,117,121,Inside One LLM Slice,1,3,117-121
junit.swingui.TestRunner,createFailedPanel,5165,5357,176,179,Inside One LLM Slice,1,3,173-181
junit.swingui.TestRunner,createJUnitMenu,6595,6769,224,230,Inside One LLM Slice,1,4,220-235
junit.swingui.TestRunner,createFrame,7214,7389,250,256,Inside One LLM Slice,1,4,247-259
junit.swingui.TestRunner,createQuitButton,8435,8610,294,300,Covers Multiple,3,4;5;6,294-294;295-299;300-300
junit.swingui.TestRunner,createRunButton,8872,9233,313,325,Covers Multiple,5,4;5;6;7;8,313-315;316-318;319-320;321-324;325-327
junit.swingui.TestRunner,createSuiteCombo,10024,10397,359,371,Inside One LLM Slice,1,2,354-374
junit.swingui.TestRunner,createUI,12468,12882,451,462,Inside One LLM Slice,1,6,450-462
junit.swingui.TestRunner,runSuite,18807,18946,652,656,Inside One LLM Slice,1,2,650-656
junit.swingui.TestRunner,runTest,19413,19552,676,680,Inside One LLM Slice,1,2,675-680
junit.swingui.TestRunner,terminate,22947,23266,827,836,Covers Multiple,3,2;3;4,826-827;828-833;834-836
junit.runner.BaseTestRunner,getPreferences,995,1292,38,49,Inside One LLM Slice,1,3,38-49
junit.framework.TestResult,run,2832,3058,103,109,Covers Multiple,2,1;2,103-106;107-109
junit.framework.TestResult,runProtected,3513,3705,133,136,Inside One LLM Slice,1,2,132-136
junit.framework.Assert,assertEquals,1686,1826,64,67,Covers Multiple,2,3;4,64-66;67-67
junit.framework.Assert,assertEquals,3073,3243,102,105,Inside One LLM Slice,1,1,100-107
junit.framework.Assert,assertEquals,4232,4400,127,130,Inside One LLM Slice,1,1,125-131
junit.awtui.TestRunner,testFailed,2017,2354,70,82,Inside One LLM Slice,1,1,68-83
junit.awtui.TestRunner,createJUnitMenu,3731,3867,128,131,Inside One LLM Slice,1,1,123-134
junit.awtui.TestRunner,createUI,5278,6443,191,228,Inside One LLM Slice,1,6,188-231
junit.awtui.TestRunner,createCounterPanel,10289,10710,346,356,Inside One LLM Slice,1,1,344-356
junit.awtui.TestRunner,reset,14226,14395,486,489,Inside One LLM Slice,1,2,486-489
