class_name,function_name,offset_start,offset_end,line_start,line_end,match_type,matched_slice_count,matched_slice_ids,matched_slice_ranges
junit.textui.TestRunner,start,4280,4584,172,181,Covers Multiple,2,4;5,170-178;179-181
junit.textui.ResultPrinter,print,715,1180,30,42,Covers Multiple,2,4;5,30-41;42-42
junit.swingui.TestRunner,testFailed,2103,2215,70,72,Inside One LLM Slice,1,5,68-73
junit.swingui.TestRunner,addToHistory,3342,3557,117,121,Covers Multiple,2,3;4,117-119;120-121
junit.swingui.TestRunner,createFailedPanel,5165,5357,176,179,Inside One LLM Slice,1,3,173-182
junit.swingui.TestRunner,createJUnitMenu,6595,6769,224,230,Inside One LLM Slice,1,4,220-235
junit.swingui.TestRunner,createFrame,7214,7389,250,256,Inside One LLM Slice,1,3,247-259
junit.swingui.TestRunner,createQuitButton,8435,8610,294,300,Inside One LLM Slice,1,2,291-303
junit.swingui.TestRunner,createRunButton,8872,9233,313,325,Covers Multiple,4,3;4;5;6,313-314;315-320;321-324;325-330
junit.swingui.TestRunner,createSuiteCombo,10024,10397,359,371,Inside One LLM Slice,1,2,354-374
junit.swingui.TestRunner,createUI,12468,12882,451,462,Inside One LLM Slice,1,8,450-484
junit.swingui.TestRunner,runSuite,18807,18946,652,656,Inside One LLM Slice,1,2,650-656
junit.swingui.TestRunner,runTest,19413,19552,676,680,Inside One LLM Slice,1,2,675-680
junit.swingui.TestRunner,terminate,22947,23266,827,836,Inside One LLM Slice,1,2,826-836
junit.runner.BaseTestRunner,getPreferences,995,1292,38,49,Inside One LLM Slice,1,2,38-49
junit.framework.TestResult,run,2832,3058,103,109,Covers Multiple,2,1;2,103-106;107-109
junit.framework.TestResult,runProtected,3513,3705,133,136,Inside One LLM Slice,1,2,132-136
junit.framework.Assert,assertEquals,1686,1826,64,67,Covers Multiple,2,3;4,64-66;67-67
junit.framework.Assert,assertEquals,3073,3243,102,105,Inside One LLM Slice,1,1,100-107
junit.framework.Assert,assertEquals,4232,4400,127,130,Inside One LLM Slice,1,1,125-131
junit.awtui.TestRunner,testFailed,2017,2354,70,82,Inside One LLM Slice,1,1,68-83
junit.awtui.TestRunner,createJUnitMenu,3731,3867,128,131,Inside One LLM Slice,1,1,122-135
junit.awtui.TestRunner,createUI,5278,6443,191,228,Inside One LLM Slice,1,5,180-231
junit.awtui.TestRunner,createCounterPanel,10289,10710,346,356,Inside One LLM Slice,1,1,344-356
junit.awtui.TestRunner,reset,14226,14395,486,489,Inside One LLM Slice,1,2,486-489
